,eligible_image_count_raw,eligible_label_diversity_raw,training_interaction_count,metadata_edge_count,mean_user_training_interactions,mean_target_visual_score_gain,mean_target_visual_rank_gain,mean_rank_improvement,mean_delta_ndcg10,mean_delta_recall20,mean_delta_ndcg20
eligible_image_count_raw,1.0,0.8043815714952405,0.6322411554733142,0.36818861103484085,0.06256198350154345,0.6189518303651587,-0.14199878491892695,-0.27018484691892614,0.006498316566410578,0.026898117058634777,0.017580459124093638
eligible_label_diversity_raw,0.8043815714952405,1.0,0.5080547948305187,0.2887603686038639,0.061011585937660255,0.5553959366380851,-0.02889016179387765,-0.1478034629770255,0.029863373774655914,0.04425738046440189,0.03704462913714978
training_interaction_count,0.6322411554733142,0.5080547948305187,1.0,0.40438219457093866,0.059559194560403296,0.8534238215815406,-0.4151122671595258,-0.6728692962571855,0.011105461674785298,0.01937844241828857,0.009471854929303518
metadata_edge_count,0.36818861103484085,0.2887603686038639,0.40438219457093866,1.0,-0.06350938136648494,0.34706557105032865,-0.061133216589480344,-0.11474459307939333,0.006293623223915443,0.011472132566882474,0.00011681262526695318
mean_user_training_interactions,0.06256198350154345,0.061011585937660255,0.059559194560403296,-0.06350938136648494,1.0,0.09250497985967562,-0.03619876443962674,-0.09374380213415315,-0.005434379037614122,-0.00711902820738102,-0.006457694632658257
mean_target_visual_score_gain,0.6189518303651587,0.5553959366380851,0.8534238215815406,0.34706557105032865,0.09250497985967562,1.0,-0.15043364575362045,-0.43034924225830595,0.04585285975500235,0.04727512580541082,0.03877400176108922
mean_target_visual_rank_gain,-0.14199878491892695,-0.02889016179387765,-0.4151122671595258,-0.061133216589480344,-0.03619876443962674,-0.15043364575362045,1.0,0.5546590501493944,0.03703549117095664,0.040404726435156926,0.04110441414842376
mean_rank_improvement,-0.27018484691892614,-0.1478034629770255,-0.6728692962571855,-0.11474459307939333,-0.09374380213415315,-0.43034924225830595,0.5546590501493944,1.0,0.0578349806914153,0.08767488524465154,0.08954940682573623
mean_delta_ndcg10,0.006498316566410578,0.029863373774655914,0.011105461674785298,0.006293623223915443,-0.005434379037614122,0.04585285975500235,0.03703549117095664,0.0578349806914153,1.0,0.7508135621136467,0.7955384367183329
mean_delta_recall20,0.026898117058634777,0.04425738046440189,0.01937844241828857,0.011472132566882474,-0.00711902820738102,0.04727512580541082,0.040404726435156926,0.08767488524465154,0.7508135621136467,1.0,0.96589362632345
mean_delta_ndcg20,0.017580459124093638,0.03704462913714978,0.009471854929303518,0.00011681262526695318,-0.006457694632658257,0.03877400176108922,0.04110441414842376,0.08954940682573623,0.7955384367183329,0.96589362632345,1.0
