support_group,outcome,effect,CI_95_lower,CI_95_upper,test_cases,businesses
Q1: Low,rank_improvement,416.92019347037484,379.87772234581485,453.7847649082568,827,381
Q1: Low,delta_NDCG@10,0.0,0.0,0.0,827,381
Q1: Low,delta_Recall@20,0.0,0.0,0.0,827,381
Q1: Low,delta_NDCG@20,0.0,0.0,0.0,827,381
Q2: Medium-low,rank_improvement,176.03656597774244,155.6119507391163,196.5394580046128,1258,351
Q2: Medium-low,delta_NDCG@10,0.0,0.0,0.0,1258,351
Q2: Medium-low,delta_Recall@20,0.0,0.0,0.0,1258,351
Q2: Medium-low,delta_NDCG@20,0.0,0.0,0.0,1258,351
Q3: Medium-high,rank_improvement,35.90736145574855,27.037642073214062,44.67834629074138,2418,360
Q3: Medium-high,delta_NDCG@10,0.0,0.0,0.0,2418,360
Q3: Medium-high,delta_Recall@20,0.0,0.0,0.0,2418,360
Q3: Medium-high,delta_NDCG@20,0.0,0.0,0.0,2418,360
Q4: High,rank_improvement,2.667123131347712,-5.212199044183621,10.890450108289864,8763,360
Q4: High,delta_NDCG@10,0.001468132588872669,-0.014938688712152568,0.018409464141831942,8763,360
Q4: High,delta_Recall@20,0.017345657879721556,-0.028338064501062413,0.06644940719370458,8763,360
Q4: High,delta_NDCG@20,0.004521146254995398,-0.014311910619536121,0.023463395024129766,8763,360
