,Full MM,All visuals masked,Target visual masked
Recall@5,0.04169168167567207,0.03582149289573744,0.0
NDCG@5,0.02668881896728501,0.02257550196875939,0.0
MAP@5,0.02178529339826118,0.018306539479243097,0.0
Recall@10,0.0675738776599293,0.06463878326996197,0.0
NDCG@10,0.03496455845636699,0.03170055239861931,0.0
MAP@10,0.025145934121319352,0.021960133752208996,0.0
Recall@20,0.11099993329330932,0.10899873257287707,0.0
NDCG@20,0.045860112041624,0.04283956666740337,0.0
MAP@20,0.028092893780324816,0.02497609337441565,0.0
MeanRank,492.0934560736442,489.1899806550597,1092.2299379627777
MedianRank,262.0,263.0,819.0
