group,n,metric,MM_minus_NV,CI_95_lower,CI_95_upper,CI_excludes_zero
Visual-supported target,13266,Recall@5,0.0014322327755163576,-0.0014322327755163576,0.004598221016131464,False
Visual-supported target,13266,NDCG@5,0.00029633376923062513,-0.0011934525583645395,0.0019276440228335678,False
Visual-supported target,13266,MAP@5,-5.151012613699186e-05,-0.0012815656565656566,0.001213754460023116,False
Visual-supported target,13266,Recall@10,0.0036936529473842908,-0.0005276647067691844,0.0076907131011608515,False
Visual-supported target,13266,NDCG@10,0.0009697908846895211,-0.0008103453325040943,0.002683138744912674,False
Visual-supported target,13266,MAP@10,0.00019302836467015574,-0.001140417590977292,0.001489740451183237,False
Visual-supported target,13266,Recall@20,0.01145786220413086,0.006181215136439017,0.016508367254635913,True
Visual-supported target,13266,NDCG@20,0.0029864921327095333,0.0012447040951941379,0.004828248909903535,True
Visual-supported target,13266,MAP@20,0.0007747617971547578,-0.0004538513520235135,0.0020797975105687335,False
Image-less target,1725,Recall@5,0.0,0.0,0.0,False
Image-less target,1725,NDCG@5,0.0,0.0,0.0,False
Image-less target,1725,MAP@5,0.0,0.0,0.0,False
Image-less target,1725,Recall@10,0.0,0.0,0.0,False
Image-less target,1725,NDCG@10,0.0,0.0,0.0,False
Image-less target,1725,MAP@10,0.0,0.0,0.0,False
Image-less target,1725,Recall@20,0.0,0.0,0.0,False
Image-less target,1725,NDCG@20,0.0,0.0,0.0,False
Image-less target,1725,MAP@20,0.0,0.0,0.0,False
