group,n,metric,KGRec-NV,KGRec-MM,MM_minus_NV,Relative_change_percent
Visual-supported target,13266,Recall@5,0.04568068747173225,0.047112920247248606,0.001432232775516358,3.1353135313531366
Visual-supported target,13266,NDCG@5,0.0298628766286715,0.030159210397902123,0.00029633376923062296,0.9923148828405612
Visual-supported target,13266,MAP@5,0.024669581385999294,0.024618071259862304,-5.151012613699088e-05,-0.2088001629659771
Visual-supported target,13266,Recall@10,0.07266696818935625,0.07636062113674054,0.0036936529473842877,5.082987551867216
Visual-supported target,13266,NDCG@10,0.038541267144814303,0.039511058029503825,0.0009697908846895212,2.516240270579702
Visual-supported target,13266,MAP@10,0.028222673309737985,0.028415701674408145,0.00019302836467016,0.6839478406305233
Visual-supported target,13266,Recall@20,0.11397557666214382,0.1254334388662747,0.011457862204130878,10.052910052910068
Visual-supported target,13266,NDCG@20,0.04883688640007996,0.05182337853278949,0.002986492132709531,6.115238609283334
Visual-supported target,13266,MAP@20,0.030971097592325816,0.031745859389480574,0.0007747617971547577,2.5015639011344963
Image-less target,1725,Recall@5,0.0,0.0,0.0,
Image-less target,1725,NDCG@5,0.0,0.0,0.0,
Image-less target,1725,MAP@5,0.0,0.0,0.0,
Image-less target,1725,Recall@10,0.0,0.0,0.0,
Image-less target,1725,NDCG@10,0.0,0.0,0.0,
Image-less target,1725,MAP@10,0.0,0.0,0.0,
Image-less target,1725,Recall@20,0.0,0.0,0.0,
Image-less target,1725,NDCG@20,0.0,0.0,0.0,
Image-less target,1725,MAP@20,0.0,0.0,0.0,
