business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,city_clean,state_clean,category_list,matched_target_categories,is_target_business,is_operational_at_snapshot
w_AMNoI1iG9eay7ncmc67w,River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,3.0,12,1,"{""BusinessAcceptsCreditCards"": ""True"", ""WiFi"": ""'no'"", ""RestaurantsPriceRange2"": ""2""}","Event Planning & Services, Hotels, Hotels & Travel",,New Orleans,LA,"[""Event Planning & Services"", ""Hotels"", ""Hotels & Travel""]","[""Hotels""]",True,True
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,LA,70112,29.9506467229,-90.0744274301,4.5,350,1,"{""NoiseLevel"": ""u'average'"", ""RestaurantsGoodForGroups"": ""True"", ""WheelchairAccessible"": ""True"", ""WiFi"": ""u'free'"", ""HappyHour"": ""True"", ""OutdoorSeating"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", ""Alcohol"": ""u'full_bar'"", ""BusinessParking"": ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""Smoking"": ""u'no'"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsTakeOut"": ""True"", ""Music"": ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", ""DogsAllowed"": ""False"", ""BestNights"": ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", ""RestaurantsAttire"": ""u'casual'"", ""ByAppointmentOnly"": ""False"", ""CoatCheck"": ""False"", ""GoodForDancing"": ""False"", ""RestaurantsDelivery"": ""True"", ""HasTV"": ""True"", ""RestaurantsReservations"": ""True""}","Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces","{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""10:30-22:0"", ""Sunday"": ""10:30-21:0""}",New Orleans,LA,"[""Nightlife"", ""Pubs"", ""Event Planning & Services"", ""Wine Bars"", ""Bars"", ""Gastropubs"", ""Restaurants"", ""Venues & Event Spaces""]","[""Bars"", ""Nightlife"", ""Pubs"", ""Restaurants"", ""Venues & Event Spaces"", ""Wine Bars""]",True,True
J_ksUDPpzPwfTGtI4zTRnQ,Riverview Room,600 Decatur St,New Orleans,LA,70130,29.9559253,-90.0629624,4.5,7,1,"{""BusinessAcceptsCreditCards"": ""True"", ""WiFi"": ""u'free'""}","Event Planning & Services, Caterers, Party & Event Planning","{""Monday"": ""9:0-16:0"", ""Tuesday"": ""9:0-16:0"", ""Wednesday"": ""9:0-16:0"", ""Thursday"": ""9:0-16:0"", ""Friday"": ""9:0-16:0""}",New Orleans,LA,"[""Event Planning & Services"", ""Caterers"", ""Party & Event Planning""]","[""Caterers""]",True,True
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,LA,70112,29.9554151,-90.0700619,4.0,382,1,"{""RestaurantsGoodForGroups"": ""True"", ""DogsAllowed"": ""False"", ""Alcohol"": ""'full_bar'"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsDelivery"": ""False"", ""RestaurantsReservations"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""HasTV"": ""True"", ""RestaurantsTableService"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""WiFi"": ""u'free'"", ""NoiseLevel"": ""u'average'"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", ""WheelchairAccessible"": ""True"", ""BYOB"": ""False"", ""OutdoorSeating"": ""False"", ""HappyHour"": ""True"", ""RestaurantsTakeOut"": ""True"", ""BusinessParking"": ""{'garage': None, 'street': False, 'validated': None, 'lot': False, 'valet': False}"", ""Caters"": ""False"", ""GoodForMeal"": ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': None}"", ""GoodForKids"": ""True"", ""BikeParking"": ""True""}","Restaurants, Seafood, Cajun/Creole","{""Monday"": ""0:0-0:0"", ""Thursday"": ""15:0-20:0"", ""Friday"": ""12:0-20:0"", ""Saturday"": ""12:0-20:0"", ""Sunday"": ""12:0-20:0""}",New Orleans,LA,"[""Restaurants"", ""Seafood"", ""Cajun/Creole""]","[""Restaurants""]",True,True
FRYkg_JvsWU9xIXZsEZcVA,Altamura,2127 Prytania St,New Orleans,LA,70115,29.9333877563,-90.079498291,3.5,27,0,"{""Alcohol"": ""'full_bar'"", ""OutdoorSeating"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", ""GoodForKids"": ""False"", ""HasTV"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsPriceRange2"": ""3"", ""RestaurantsDelivery"": ""False"", ""RestaurantsReservations"": ""True"", ""HappyHour"": ""True"", ""RestaurantsTakeOut"": ""False"", ""RestaurantsAttire"": ""u'formal'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsGoodForGroups"": ""True"", ""BikeParking"": ""True""}","Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants","{""Monday"": ""17:0-22:0"", ""Wednesday"": ""17:0-22:0"", ""Thursday"": ""17:0-22:0"", ""Friday"": ""17:0-23:0"", ""Saturday"": ""17:0-23:0"", ""Sunday"": ""15:0-20:0""}",New Orleans,LA,"[""Cocktail Bars"", ""Italian"", ""Nightlife"", ""Seafood"", ""Bars"", ""Restaurants""]","[""Bars"", ""Cocktail Bars"", ""Nightlife"", ""Restaurants""]",True,False
hUQ9Z7kQeabvhPOAQOVV1A,Rathbone Mansions,1244 Esplanade Ave,New Orleans,LA,70116,29.9670548,-90.0658282,3.5,67,1,"{""WiFi"": ""u'free'"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsPriceRange2"": ""2""}","Hotels, Hotels & Travel, Bed & Breakfast, Event Planning & Services",,New Orleans,LA,"[""Hotels"", ""Hotels & Travel"", ""Bed & Breakfast"", ""Event Planning & Services""]","[""Bed & Breakfast"", ""Hotels""]",True,True
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,949 N Rendon St,New Orleans,LA,70119,29.976762,-90.086423,4.5,8,0,"{""RestaurantsPriceRange2"": ""1"", ""RestaurantsAttire"": ""u'casual'"", ""NoiseLevel"": ""u'average'"", ""HasTV"": ""False"", ""WiFi"": ""u'free'"", ""GoodForKids"": ""False"", ""OutdoorSeating"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsDelivery"": ""False""}","American (New), Food, Bars, Nightlife, Lounges, Restaurants","{""Tuesday"": ""17:0-22:0""}",New Orleans,LA,"[""American (New)"", ""Food"", ""Bars"", ""Nightlife"", ""Lounges"", ""Restaurants""]","[""Bars"", ""Food"", ""Lounges"", ""Nightlife"", ""Restaurants""]",True,False
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,8227 Oak St,New Orleans,LA,70118,29.9486236188,-90.1312502816,3.5,149,0,"{""RestaurantsTakeOut"": ""True"", ""GoodForKids"": ""True"", ""WiFi"": ""'free'"", ""RestaurantsAttire"": ""u'casual'"", ""HasTV"": ""True"", ""BikeParking"": ""True"", ""NoiseLevel"": ""u'average'"", ""RestaurantsPriceRange2"": ""2"", ""Caters"": ""True"", ""RestaurantsDelivery"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""BusinessAcceptsCreditCards"": ""True"", ""HappyHour"": ""True"", ""OutdoorSeating"": ""True"", ""RestaurantsReservations"": ""True"", ""Smoking"": ""u'outdoor'"", ""Alcohol"": ""u'full_bar'"", ""RestaurantsTableService"": ""True"", ""Music"": ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", ""BestNights"": ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': False, 'sunday': True, 'saturday': False}"", ""RestaurantsGoodForGroups"": ""True"", ""GoodForMeal"": ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", ""Ambience"": ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}""}","Pizza, Restaurants, Bars, Nightlife, Sandwiches","{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""12:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""11:0-22:0""}",New Orleans,LA,"[""Pizza"", ""Restaurants"", ""Bars"", ""Nightlife"", ""Sandwiches""]","[""Bars"", ""Nightlife"", ""Restaurants""]",True,False
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,514 S Rampart St,New Orleans,LA,70163,29.95029,-90.074887,3.5,58,0,"{""GoodForKids"": ""True"", ""OutdoorSeating"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsReservations"": ""True"", ""WiFi"": ""'no'"", ""BikeParking"": ""True"", ""Alcohol"": ""u'full_bar'"", ""RestaurantsPriceRange2"": ""2"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""NoiseLevel"": ""u'average'"", ""Caters"": ""False"", ""RestaurantsTableService"": ""True"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsDelivery"": ""False"", ""HappyHour"": ""True"", ""RestaurantsAttire"": ""'casual'"", ""HasTV"": ""True""}","Mexican, Restaurants","{""Monday"": ""0:0-0:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:30"", ""Saturday"": ""11:0-17:0"", ""Sunday"": ""11:0-21:0""}",New Orleans,LA,"[""Mexican"", ""Restaurants""]","[""Restaurants""]",True,False
x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,204 Decatur St,New Orleans,LA,70130,29.9510658,-90.0715323,3.5,172,0,"{""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""True"", ""Caters"": ""True"", ""RestaurantsAttire"": ""'casual'"", ""Alcohol"": ""u'full_bar'"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""GoodForKids"": ""False"", ""RestaurantsDelivery"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""HasTV"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""WiFi"": ""u'no'"", ""NoiseLevel"": ""u'quiet'"", ""BikeParking"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","Event Planning & Services, Party & Event Planning, Restaurants, Seafood, Soul Food, Southern, Ethnic Food, Specialty Food, Venues & Event Spaces, Cajun/Creole, Food",,New Orleans,LA,"[""Event Planning & Services"", ""Party & Event Planning"", ""Restaurants"", ""Seafood"", ""Soul Food"", ""Southern"", ""Ethnic Food"", ""Specialty Food"", ""Venues & Event Spaces"", ""Cajun/Creole"", ""Food""]","[""Food"", ""Restaurants"", ""Specialty Food"", ""Venues & Event Spaces""]",True,False
