photo_id,business_id,caption,label,caption_clean,has_caption
vkr8T0scuJmGVvN2HJelEA,_ab50qdWOk0DdB6XOrBitw,oyster shooter,drink,oyster shooter,True
mcjlyGuLFJ0t4vDixycCSg,p2J__JQ_mN5lVd7iGXYgGA,,inside,,False
GBVORD8dr33TxT0qKwMOjQ,VaO-VW3e1kARkU9bP1E7Fw,,food,,False
xqkg5INxPk4_ZWxIaO8tPQ,5QefK7gbedeBiqsYJW54Bw,Park,outside,Park,True
oG0ECMHx6OYjIE9JyLDjYA,xZKhj_0PWf9F0ubRyFG5og,,inside,,False
L7fWHkgJ03_zySL1WWtmvg,_ab50qdWOk0DdB6XOrBitw,Cucumber Collins | rose,inside,Cucumber Collins | rose,True
tBFOXD-qPtXPYNWvyeWr0A,wHpOgSutd4QmV_X7gXZ3dw,Indoor seating,inside,Indoor seating,True
m28V3Pvk1YW-bDkj6O6kkQ,VaO-VW3e1kARkU9bP1E7Fw,Oyster station,inside,Oyster station,True
OPCnM6rMMis1XxF8lARJ2w,EBonJ5tjkxBEUezwosVlLg,,inside,,False
SZ3NDrbN8IyamXlSQkV35g,Z4qfMpj8jymG3_XjTBKN0A,,food,,False
4IiMykKoTykwt-5oc61Cyg,Rx5lfHMWkezmQjCfr2ziAw,"5.99 for the 8"" grilled pork banh mi. Yum.",food,"5.99 for the 8"" grilled pork banh mi. Yum.",True
AhkWscQnBzcMvRl7VstFzA,M1BDVcmq7s8pox_YRdPxqw,Guests visiting AVO TACO will enjoy an abundance of fresh food that includes specialty burgers and more!,food,Guests visiting AVO TACO will enjoy an abundance of fresh food that includes specialty burgers and more!,True
kMgM6hD2GU-1q79cRP4IWw,1bG56xTahLSU2iP1UQDblQ,,outside,,False
IM1CWH6_ieAQMEclhWxCZQ,v-liEhFGRVJXdfmgcsm_Eg,,outside,,False
xjBDw2tPc5czev9p79YS7w,3fVYGQr_ldW2_1QlXJjpaQ,"Pain Perdu | Spiced Roasted Apples, Maple Crema, Bacon-Sugar Cane Syrup",food,"Pain Perdu | Spiced Roasted Apples, Maple Crema, Bacon-Sugar Cane Syrup",True
6_2OwTE_2ezVgC4iBswzWQ,nihvarTktbLi1CI_Dkep4Q,,drink,,False
7uYuqFyrzEhYgAlRgqaOPw,085mjp-y4qmKRMIj72x8xw,Inside,inside,Inside,True
km4Gkd__6rR2MfouBhPDGg,Q6BQcgabriKd5wPxvzOIWg,,food,,False
ohHyTI81NGTpIHCBWDpFTA,ft6I8fOrKQtVdM_trVXk8A,,inside,,False
b5KPlt7Z2IOZKJsaXPZ01A,F_bDaJUteUVm0dGNg0uBIw,The inside looking out,inside,The inside looking out,True
pl9rU8KDhjZ2i2-hCAniIg,1klQuTKmJr-eMQPuFaQ5fg,Sitting area,inside,Sitting area,True
qF-srWPJ5Usr4IGEK9DO1A,if57kE6_VfR1nI1X93oHEA,Panne Chicken Linguine,food,Panne Chicken Linguine,True
M3EWmdsWiYbOdGjsRFT5wQ,5OK71bsZ3UndLeTXUE5mKw,Cartelized shrimps and white bean.,food,Cartelized shrimps and white bean.,True
rRQ1hXqnTVDHZx5LtJVPYw,lNXAV6t34fqAdGa3MrDxkg,during 2011 Jazz Fest,inside,during 2011 Jazz Fest,True
UKiGzYYPICi8BIOD2cVvnA,gLaxSkjWzt25hybkaKwQcA,Dining area,inside,Dining area,True
fDnyd1B_bMpIMW2eNiODnQ,FEXhWNCMkv22qG04E83Qjg,,food,,False
gzXxP_T4JUZE2zMzaoUJYA,_LgI5387qAmMuS8i6h69cg,,food,,False
FMivDc9bpWEKpYNaXSQEZQ,w4nHq_elJwPpI4iZ6ro3JQ,,inside,,False
NuLoAlxvsskjkrieQ_MhpQ,ChlcxTEoWBQJXJ2Xb2vm5g,These two guys were the best and they made our dinner experience so much more fun! We truly had a fantastic dinner!!,outside,These two guys were the best and they made our dinner experience so much more fun! We truly had a fantastic dinner!!,True
LQ-i428Tq64h3L1jc2OoDg,ku8cAVBLaF_4rI-yK6gNnQ,,inside,,False
9n5RobGsibyp8IriSszsSQ,htx6Uime2SkiE-zC7hxb-g,,menu,,False
Y3pe-iKMJ26oE7laHlAWwA,SvB4Z0pan7IKy0IrfNw2rQ,"Crawfish pie, shrimp and crawfish",food,"Crawfish pie, shrimp and crawfish",True
cklpUVFnNF4WxE4yMCRyZw,swVdc9piXvG0AXwL-F0GfQ,Happy hour menu,menu,Happy hour menu,True
hWBxGYH2Zd5gDA3OKSy5MA,qb28j-FNX1_6xm7u372TZA,,food,,False
3LE7AMx5f8GfbqkztYYPOQ,xZileQFJ7h-0QKjtGc9xgg,Strawberries Arnaud,food,Strawberries Arnaud,True
BQeOWpldlOM-BbTatUmE9g,jQPg8OKiSVa-fwvd-XGzLQ,,food,,False
CDmbMgQvAuyXcR3xiLCjoA,ALjOBKvlyT-lcLFihD4P8g,,food,,False
Q7GlqT-QK2vKzrCTlg-P_w,Y2Pfil51rNvTd_lFHwzb_g,Nice outdoor seating(with a guard cat),food,Nice outdoor seating(with a guard cat),True
1yX_E6J_5L-fsApQcbAyLw,dfqIU-iEqKh1Id8p3gDO5g,Meat pie & 2 white chicken pieces (meat pie is a must),food,Meat pie & 2 white chicken pieces (meat pie is a must),True
HLl-seC5RJ2kGp_SEZdKvA,8g4lWyEEz4sZaPU3Y4LGww,,inside,,False
MG-9Qu4DLqmpXo-HSiGRew,_ab50qdWOk0DdB6XOrBitw,Fried Peacemaker Po-boy (15.49),food,Fried Peacemaker Po-boy (15.49),True
wvuMavf_TIZeMmWgVZhq2Q,WAnrBuLWBVM6Uk5sYAmBIA,Outside,outside,Outside,True
iQXz2NYuejtwRSvkv3bLVw,XeLAOIv2Ky1wyzIjoTa3Mg,Pour over of Ecuador by Switchback,drink,Pour over of Ecuador by Switchback,True
an6CmXpHX-cXWSoZlByjzw,mRpk0A4u0hnF0lNe1h4hGg,,food,,False
MJ6igBJYUpLjHBnUGM5vyQ,Cbktlvci_z4HwdqPUW-5cg,,food,,False
vthHs8vc9C-f-Aixh1FB8Q,FzU5a6v8jhFP2-tj2tXBMQ,,inside,,False
CYu2pHxjuYyN2n9vJQn3eg,Trbe4JX-oLHrrVVPcv0wog,Jazz Brunch on a beautiful Sunday afternoon. Celebrating our anniversary with good friends.,inside,Jazz Brunch on a beautiful Sunday afternoon. Celebrating our anniversary with good friends.,True
HzU-OxV-06DYnkkYMiUqIg,FEXhWNCMkv22qG04E83Qjg,Cafe,inside,Cafe,True
x4Uiwq1E5r8181hE9wNMZQ,OI2J5UsaCSD1xFnY0psJ2w,Strawberry Perfection. The incendiary-er the better.,drink,Strawberry Perfection. The incendiary-er the better.,True
CrWJZgpulQKbG-Zm0be8jQ,vKBQmHjx5K9cYoGqWLyBhQ,,food,,False
eNlLx7-cVm5GhPyLripQAw,BHnCAV4_hgqgNZGdfXNJkA,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,food,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,True
ukQY-rcV4bHTNXZFcq0I-w,EBonJ5tjkxBEUezwosVlLg,,menu,,False
qmkDwwa5gu5Vo-PVaWCGaw,gTC8IQ_i8zXytWSly3Ttvg,,food,,False
n6kWK0RV4pVOl-0shBE35Q,U2fN80Q-QOudDt5V-qjIlw,Dry Aging Refrigerator,inside,Dry Aging Refrigerator,True
t_Mf2PYxuH4LPvvomYehxg,-1XSzguS6XLN-V6MVZMg2A,,inside,,False
--zScnI03KioBVMtcOK6oQ,V9VLhHdSFpFi4yXFqVcVEA,Louisiana area 3. Queen bess. And Alabama turtleback,food,Louisiana area 3. Queen bess. And Alabama turtleback,True
tU3VXqNOEDD1GSMC7ngx_g,Trbe4JX-oLHrrVVPcv0wog,Pork Loin,food,Pork Loin,True
SuIZ_-76s7w4UItakmy0dw,FlDkxuO6MGrW7x1OJTtJew,,inside,,False
zPdvl0kMEJVTMoIy9ou1KA,fHYu0otyReBOVXb1WI_YIg,,inside,,False
89UqPynIentKK2pQeS3T8w,k1-3XZUKemdtDPeej9KI7A,,inside,,False
gJkJzZiKPz8V-n0iY2L3WQ,qb28j-FNX1_6xm7u372TZA,Seafood Okra Gumbo (Cup),food,Seafood Okra Gumbo (Cup),True
K-9meEDK21m9Oxkwr9B1WQ,OIbh0ZOemmphJR4Att3E6A,Halva,food,Halva,True
xyxRQO3R4nKKUsNIx5RKzQ,iC12uB5WlrarJg55hVqieg,,drink,,False
