user_id,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars
j14WgRoU_-2ZE1aw1dXrJg,4333,2009-01-25 04:35:42,43091,13066,27281,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",3138,3.74
SZDeASXq7o05mMNLshsdIA,224,2005-11-29 04:38:33,512,330,299,"2009,2010,2011",28,4.27
SgiBkhXeqIKl1PlFpZOycQ,682,2006-08-25 16:47:25,1819,1138,1297,"2007,2008,2009,2010,2011",44,3.75
fJZO_skqpnhk1kvomI4dmA,25,2008-07-14 16:01:36,29,2,19,,1,4.15
1L3O2CUTk27SnmqyPBWQdQ,38,2010-09-09 16:41:46,62,6,9,,0,3.98
FT9CFS39sjZxVjCTrDHmdg,201,2010-06-14 21:44:28,555,141,203,"2015,2016",5,3.52
MGPQVLsODMm9ZtYQW-g_OA,1807,2008-01-19 22:50:00,17331,10461,13734,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",828,4.06
65uUyG9yuF0rdMh0z7ajaA,715,2005-11-30 20:54:16,808,258,712,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",37,3.79
NIhcRW6DWvk1JQhDhXwgOQ,2288,2005-12-30 13:47:19,12773,4199,7971,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",345,3.69
AkBtT43dYcttxQ3qOzPBAg,1034,2007-02-20 18:21:07,3066,1485,2235,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",114,3.84
ZIR96Kh35GvW2eLyQHJh1Q,319,2007-10-12 18:59:21,488,134,180,"2012,2013",19,3.93
N4Y2GiUxnQOvUUHtFyayKg,90,2009-02-10 04:43:03,75,12,26,2010,0,3.77
V6PeLHJ8D1C7utl4HzjBmg,371,2010-01-26 21:04:52,2933,1129,1861,"2012,2013,2014,2015,2016,2017",112,3.45
X7SwvRrnsZ8I3bEPGELpnQ,666,2008-01-24 14:46:02,1329,590,470,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",47,3.28
q7iWal_rXNSHkHeCMMvZxQ,500,2011-06-01 21:02:59,2546,1433,1862,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",104,3.95
KxrKVxdXGkfMJ9XwJZzoLQ,950,2008-10-16 21:03:02,1243,368,527,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",35,3.81
VHdY6oG2JPVNjihWhOooAQ,2101,2005-07-21 01:16:04,47831,28830,44899,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2627,4.22
om5ZiponkpRqUNa3pVPiRg,2811,2006-01-18 02:35:04,18545,9225,13824,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",1002,3.97
K7thO1n-vZ9PFYiC7nTR2w,1554,2007-12-26 23:05:41,11276,6580,8918,"2008,2011,2012,2013,2014",326,3.68
HmN7p502YMJGkBNv5bzi1w,544,2008-01-04 17:55:57,521,218,164,,19,3.75
UQFE3BT1rsIYrcDvu_XVow,1560,2005-07-22 23:17:54,2385,1288,1410,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",122,4.17
hSMVQ7MSh6B0OgPxFQFO8g,920,2009-01-25 06:23:45,2377,729,1415,"2009,2010,2011,2012,2013,2014",88,3.95
jh-yu1Ap3TAwDS1ko6eqhg,27,2010-08-24 16:05:44,37,13,22,,1,4.11
3zxy3LVBV3ttxoYbY4rQ8A,2073,2008-05-12 09:13:06,27350,11667,17603,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2073,3.95
bF2xmRxR_eyJ-HRs-ClOmw,159,2009-07-16 15:25:27,255,194,145,"2009,2010,2011",6,3.53
I7YQFiIsO82eliq8nqsLfA,885,2010-04-26 20:45:56,2501,485,767,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",50,3.84
gRL9s6ENxV1qermRYDWjPQ,182,2010-08-18 05:34:05,573,146,271,"2012,2013,2014,2015",12,3.8
0G-QF457q_0Z_jKqh6xWiA,2009,2008-03-12 19:13:45,27137,14049,20385,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",944,4.1
DgsKBCbBqbFv6dCO_czBIg,43,2008-04-23 17:33:40,134,24,14,,0,3.3
