photo_id,business_id,caption,label
vkr8T0scuJmGVvN2HJelEA,_ab50qdWOk0DdB6XOrBitw,oyster shooter,drink
mcjlyGuLFJ0t4vDixycCSg,p2J__JQ_mN5lVd7iGXYgGA,,inside
GBVORD8dr33TxT0qKwMOjQ,VaO-VW3e1kARkU9bP1E7Fw,,food
xqkg5INxPk4_ZWxIaO8tPQ,5QefK7gbedeBiqsYJW54Bw,Park,outside
oG0ECMHx6OYjIE9JyLDjYA,xZKhj_0PWf9F0ubRyFG5og,,inside
L7fWHkgJ03_zySL1WWtmvg,_ab50qdWOk0DdB6XOrBitw,Cucumber Collins | rose,inside
tBFOXD-qPtXPYNWvyeWr0A,wHpOgSutd4QmV_X7gXZ3dw,Indoor seating,inside
m28V3Pvk1YW-bDkj6O6kkQ,VaO-VW3e1kARkU9bP1E7Fw,Oyster station,inside
OPCnM6rMMis1XxF8lARJ2w,EBonJ5tjkxBEUezwosVlLg,,inside
SZ3NDrbN8IyamXlSQkV35g,Z4qfMpj8jymG3_XjTBKN0A,,food
4IiMykKoTykwt-5oc61Cyg,Rx5lfHMWkezmQjCfr2ziAw,"5.99 for the 8"" grilled pork banh mi. Yum.",food
AhkWscQnBzcMvRl7VstFzA,M1BDVcmq7s8pox_YRdPxqw,Guests visiting AVO TACO will enjoy an abundance of fresh food that includes specialty burgers and more!,food
kMgM6hD2GU-1q79cRP4IWw,1bG56xTahLSU2iP1UQDblQ,,outside
IM1CWH6_ieAQMEclhWxCZQ,v-liEhFGRVJXdfmgcsm_Eg,,outside
xjBDw2tPc5czev9p79YS7w,3fVYGQr_ldW2_1QlXJjpaQ,"Pain Perdu | Spiced Roasted Apples, Maple Crema, Bacon-Sugar Cane Syrup",food
6_2OwTE_2ezVgC4iBswzWQ,nihvarTktbLi1CI_Dkep4Q,,drink
7uYuqFyrzEhYgAlRgqaOPw,085mjp-y4qmKRMIj72x8xw,Inside,inside
km4Gkd__6rR2MfouBhPDGg,Q6BQcgabriKd5wPxvzOIWg,,food
ohHyTI81NGTpIHCBWDpFTA,ft6I8fOrKQtVdM_trVXk8A,,inside
b5KPlt7Z2IOZKJsaXPZ01A,F_bDaJUteUVm0dGNg0uBIw,The inside looking out,inside
